,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
39200,0.31286230513206925,2,3,3,2,Desktop applications developer
39237,-0.2176887854254132,2,4,3,2,Desktop applications developer
39322,0.7488908728207221,3,4,2,2,Desktop applications developer
39462,-0.7839218611354192,1,1,5,3,Desktop applications developer
39479,0.2337150018314483,2,3,2,3,Desktop applications developer
39544,0.8969363734183372,2,5,2,4,Desktop applications developer
39829,-0.7839218611354192,2,4,2,2,Desktop applications developer
39856,0.6697435695201008,3,5,3,3,Desktop applications developer
39906,0.2004987896869778,2,3,3,2,Desktop applications developer
39950,0.6519025769438392,2,4,3,2,Desktop applications developer
40050,0.7488908728207221,2,4,3,3,Desktop applications developer
40073,2.0877270150230975,3,2,2,2,Desktop applications developer
40099,0.6519025769438392,2,4,4,2,Desktop applications developer
40399,-1.3323139442691638,3,4,3,2,Desktop applications developer
40407,-1.3323139442691638,2,5,1,2,Desktop applications developer
40598,0.6519025769438392,4,2,4,2,Desktop applications developer
40616,0.6519025769438392,2,4,3,2,Desktop applications developer
40712,1.0700901520562303,4,4,1,3,Desktop applications developer
40717,-0.462722581899911,5,3,3,2,Desktop applications developer
40795,1.6184822351899744,3,2,2,2,Desktop applications developer
40971,-0.7660808685591572,4,4,3,3,Desktop applications developer
41086,-0.7660808685591572,2,4,3,2,Desktop applications developer
41277,-0.7660808685591572,1,3,1,1,Desktop applications developer
41331,-0.880910157012302,2,5,2,3,Desktop applications developer
41367,0.7488908728207221,3,4,3,2,Desktop applications developer
41466,1.6006412426137124,2,1,1,1,Desktop applications developer
41582,1.087931144632492,4,5,4,3,Desktop applications developer
42015,0.330703297708331,4,5,4,2,Desktop applications developer
42191,0.21587400925518652,2,4,3,2,Desktop applications developer
42264,1.6695394399107062,2,4,3,2,Desktop applications developer
42401,0.2337150018314483,3,5,3,2,Desktop applications developer
42527,0.2004987896869778,2,4,3,2,Desktop applications developer
42568,0.10351049381009496,3,3,5,3,Desktop applications developer
42681,1.2002946600775835,3,5,3,2,Desktop applications developer
42694,1.7665277357875893,3,3,2,2,Desktop applications developer
42708,-0.33251807387855764,2,3,2,1,Desktop applications developer
