,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
757,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
759,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
760,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
762,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
765,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
767,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
768,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
770,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
773,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
774,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
778,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
780,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
781,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
784,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
786,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
790,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
798,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
799,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
